1  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
1  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
1  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
1  	 4 	 9 	 9.918570 	 0.001028 	 185.030541 
1  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
1  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
1  	 4 	 12 	 9.919491 	 0.001025 	 184.401003 
1  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
1  	 4 	 6 	 6.545625 	 0.005235 	 939.759218 
2  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
2  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
2  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
2  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
2  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
2  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
2  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
2  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
2  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
3  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
3  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
3  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
3  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
3  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
3  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
3  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
3  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
3  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
4  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
4  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
4  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
4  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
4  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
4  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
4  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
4  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
4  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
5  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
5  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
5  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
5  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
5  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
5  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
5  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
5  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
5  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
6  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
6  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
6  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
6  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
6  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
6  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
6  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
6  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
6  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
7  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
7  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
7  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
7  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
7  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
7  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
7  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
7  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
7  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
8  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
8  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
8  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
8  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
8  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
8  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
8  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
8  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
8  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
9  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
