1  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
1  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
1  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
1  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
2  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
2  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
2  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
2  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
3  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
3  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
3  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
3  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
4  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
4  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
4  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
4  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
5  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
5  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
5  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
5  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
6  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
6  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
6  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
6  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
7  	 3 	 5 	 7.422115 	 0.010493 	 2710.575857 
7  	 3 	 4 	 3.858445 	 0.144939 	 35148.693508 
7  	 3 	 7 	 6.238263 	 0.018101 	 4658.432018 
7  	 3 	 14 	 4.870727 	 0.057663 	 14558.331015 
