1  	 3 	 5 	 10.622887 	 0.004644 	 833.941014 
1  	 3 	 1 	 9.408796 	 0.007614 	 1365.256596 
1  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
1  	 3 	 6 	 10.744609 	 0.004437 	 796.870552 
2  	 3 	 2 	 9.546859 	 0.007128 	 1278.468109 
2  	 3 	 5 	 10.622887 	 0.004650 	 835.020641 
2  	 3 	 3 	 8.600037 	 0.005389 	 967.341801 
2  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
3  	 3 	 4 	 9.867767 	 0.006294 	 1129.431029 
3  	 3 	 1 	 9.408796 	 0.007416 	 1330.009875 
3  	 3 	 3 	 8.600037 	 0.010969 	 1963.592993 
3  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
4  	 3 	 4 	 9.867767 	 0.003167 	 569.164416 
4  	 3 	 2 	 9.546859 	 0.007128 	 1278.468109 
4  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
4  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
5  	 3 	 5 	 10.622887 	 0.002361 	 424.458144 
5  	 3 	 2 	 9.546859 	 0.003619 	 650.265184 
5  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
5  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
6  	 3 	 4 	 9.867767 	 0.006117 	 1097.781573 
6  	 3 	 3 	 8.600037 	 0.010415 	 1864.976652 
6  	 3 	 5 	 10.622887 	 0.004639 	 833.007929 
6  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
7  	 3 	 2 	 9.546859 	 0.003596 	 646.036132 
7  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
7  	 3 	 1 	 9.408796 	 0.003811 	 684.724440 
7  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
8  	 3 	 5 	 10.622887 	 0.004652 	 835.399417 
8  	 3 	 4 	 9.867767 	 0.006114 	 1097.202786 
8  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
8  	 3 	 6 	 10.744609 	 0.004350 	 781.234460 
9  	 3 	 3 	 8.600037 	 0.004242 	 761.876371 
9  	 3 	 4 	 9.867767 	 0.004047 	 726.950029 
9  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
9  	 3 	 6 	 10.744609 	 0.001754 	 315.368251 
10  	 3 	 2 	 9.546859 	 0.007223 	 1295.442176 
10  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
10  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
10  	 3 	 3 	 8.600037 	 0.010969 	 1963.592993 
11  	 3 	 2 	 9.546859 	 0.007223 	 1295.442176 
11  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
11  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
11  	 3 	 3 	 8.600037 	 0.010969 	 1963.592993 
12  	 3 	 2 	 9.546859 	 0.004466 	 802.020867 
12  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
12  	 3 	 1 	 9.408796 	 0.004734 	 850.028390 
12  	 3 	 3 	 8.600037 	 0.006704 	 1202.664310 
13  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
13  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
13  	 3 	 6 	 10.744609 	 0.002869 	 515.608690 
13  	 3 	 2 	 9.546859 	 0.004629 	 831.332100 
14  	 3 	 3 	 8.600037 	 0.004272 	 767.404009 
14  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
14  	 3 	 1 	 9.408796 	 0.004907 	 881.089851 
14  	 3 	 4 	 9.867767 	 0.004056 	 728.559716 
15  	 3 	 1 	 9.408796 	 0.004905 	 880.830511 
15  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
15  	 3 	 2 	 9.546859 	 0.004628 	 831.087373 
15  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
16  	 3 	 1 	 9.408796 	 0.007226 	 1295.917859 
16  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
16  	 3 	 2 	 9.546859 	 0.006817 	 1222.813000 
16  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
17  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
17  	 3 	 5 	 10.622887 	 0.004388 	 788.176142 
17  	 3 	 6 	 10.744609 	 0.004193 	 753.135772 
17  	 3 	 4 	 9.867767 	 0.005894 	 1057.773005 
18  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
18  	 3 	 4 	 9.867767 	 0.006229 	 1117.662452 
18  	 3 	 2 	 9.546859 	 0.007160 	 1284.144097 
18  	 3 	 6 	 10.744609 	 0.004431 	 795.815247 
19  	 3 	 1 	 9.408796 	 0.004708 	 845.423979 
19  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
19  	 3 	 3 	 8.600037 	 0.006668 	 1196.230161 
19  	 3 	 2 	 9.546859 	 0.004441 	 797.675926 
20  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
20  	 3 	 4 	 9.867767 	 0.003887 	 698.289250 
20  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
20  	 3 	 5 	 10.622887 	 0.002894 	 520.182376 
21  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
21  	 3 	 2 	 9.546859 	 0.004589 	 824.199431 
21  	 3 	 3 	 8.600037 	 0.006849 	 1228.704311 
21  	 3 	 6 	 10.744609 	 0.002871 	 515.971676 
22  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
22  	 3 	 2 	 9.546859 	 0.007061 	 1266.599863 
22  	 3 	 5 	 10.622887 	 0.004606 	 827.259540 
